ID|||Name|||TelNo|||NumPax|||ResvDate|||ResvTime|||ResvSession|||TableNum
1|||Tan Kheng Leong|||89275489|||9|||12/4/2019|||18:30|||P|||1
2|||Li Fang|||89234792|||9|||12/4/2019|||19:30|||P|||2
3|||Zhang Jie|||87487244|||10|||12/4/2019|||18:30|||P|||3
4|||Chan Syin|||88888888|||10|||12/4/2019|||19:00|||P|||4
5|||Douglas Maskell|||91234567|||10|||12/4/2019|||21:00|||P|||5
6|||Goh Wooi Boon|||98472394|||8|||12/4/2019|||18:50|||P|||6
7|||Oh Hong Lye|||73498779|||7|||12/4/2019|||19:45|||P|||7
8|||Calvin Loy|||29374984|||7|||12/4/2019|||18:45|||P|||8
9|||Shaun Ho|||92345678|||5|||12/4/2019|||20:00|||P|||9
10|||Gary Greaves|||87945612|||5|||12/4/2019|||20:00|||P|||10
11|||Wang Huaxiong|||54645654|||4|||12/4/2019|||18:45|||P|||11
12|||Guo Jian|||897329847|||4|||12/4/2019|||20:25|||P|||12
13|||David Chew|||879483742|||3|||12/4/2019|||21:30|||P|||13
14|||Lum Kit Meng|||91234455|||3|||12/4/2019|||21:15|||P|||14
15|||Lee Kwok Weng|||9374897|||3|||12/4/2019|||21:30|||P|||15
16|||Cai Jianfei|||10003283|||3|||12/4/2019|||21:45|||P|||16
17|||Sourav Sen Gupta|||8273987|||4|||12/4/2019|||19:50|||P|||17
18|||Bo An|||98749823|||4|||12/4/2019|||20:15|||P|||18
19|||Li Mo|||91234567|||4|||12/4/2019|||18:30|||P|||19
20|||Smith K G|||4892349|||4|||12/4/2019|||20:20|||P|||20
21|||Liu Weichen|||948232342|||2|||12/4/2019|||20:45|||P|||21
22|||Mohammed Sabry Aly|||98248923|||1|||12/4/2019|||21:25|||P|||22
23|||Hui Siu-cheung|||98374987|||1|||12/4/2019|||19:35|||P|||23
24|||Loke Yuen Ren|||98327498|||1|||12/4/2019|||20:00|||P|||24
25|||Owen Newton Fernando|||98736323|||1|||12/4/2019|||20:55|||P|||25
26|||Chng Eng Siong|||92398243|||1|||12/4/2019|||19:45|||P|||26
27|||Ta Ngyuen Binh Duong|||98347239|||1|||12/4/2019|||20:10|||P|||27
28|||Lam Siew Kei|||894682364|||1|||12/4/2019|||20:20|||P|||28
29|||Adams Kong|||02348234|||1|||12/4/2019|||19:55|||P|||29
30|||Jiang Linshan|||98727892|||1|||12/4/2019|||20:55|||P|||30
31|||Chew Ah Seng|||61234567|||4|||13/4/2019|||12:30|||A|||13
32|||Donald Trump|||84561234|||3|||14/4/2019|||11:00|||A|||14
33|||Ivanka Trump|||98765432|||4|||15/4/2019|||12:30|||A|||13
34|||Melania Trump|||91191191|||3|||16/4/2019|||11:00|||A|||14
35|||Trump Is Love|||91191191|||3|||17/4/2019|||11:00|||A|||14
36|||Tan Kheng Leong|||98765432|||6|||29/4/2019|||12:30|||A|||13
37|||Tan Ah Kow|||67894561|||4|||29/4/2019|||12:30|||A|||13
38|||Tan Wee Yeow|||56253893|||10|||5/5/2019|||11:30|||A|||1
39|||Isaac Hong An Jie|||56253893|||10|||20/4/2019|||11:30|||A|||1
40|||Ben Lau Jun Hao|||56253893|||5|||20/4/2019|||11:30|||A|||9
41|||Koh Tat You @ Arthur Koh|||96237232|||6|||29/4/2019|||12:45|||A|||6
