ID|||Name|||TelNo|||NumPax|||ResvDate|||ResvTime|||ResvSession|||TableNum
1|||Alice Tan|||91234567|||10|||7/4/2019|||21:00|||P|||5
2|||Bob Lee|||92345678|||5|||7/4/2019|||20:00|||P|||9
3|||Clarice Lee|||87945612|||5|||7/4/2019|||20:00|||P|||10
4|||Alice Tan|||91234567|||4|||7/4/2019|||18:30|||P|||19
6|||Lim Ah Seng|||61234567|||4|||8/4/2019|||12:30|||A|||13
7|||Donald Trump|||84561234|||3|||9/4/2019|||11:00|||A|||14
8|||Ivanka Trump|||98765432|||4|||10/4/2019|||12:30|||A|||13
9|||Melania Trump|||91191191|||3|||11/4/2019|||11:00|||A|||14
10|||Trump Is Love|||91191191|||3|||12/4/2019|||11:00|||A|||14
11|||Tan Kheng Leong|||98765432|||6|||29/4/2019|||12:30|||A|||13
12|||Tan Ah Kow|||67894561|||4|||29/4/2019|||12:30|||A|||13
13|||Yow Kow|||89275489|||9|||7/4/2019|||18:30|||P|||1
14|||Kow Yow|||56253893|||10|||5/5/2019|||11:30|||A|||1
15|||Wee Yeow|||89234792|||9|||7/4/2019|||19:30|||P|||2
16|||Tan Wee Yeow|||87487244|||10|||7/4/2019|||18:00|||P|||3
17|||Wee|||88888888|||10|||7/4/2019|||19:00|||P|||4
